sboid;said;validFrom;validTo;organisationNumber;status;descriptionDe;descriptionFr;descriptionIt;descriptionEn;abbreviationDe;abbreviationFr;abbreviationIt;abbreviationEn;businessTypesId;businessTypesDe;businessTypesIt;businessTypesFr;transportCompanyNumber;transportCompanyAbbreviation;transportCompanyBusinessRegisterName;creationTime;editionTime
ch:1:sboid:101061;101061;1900-01-01;9999-12-31;3121;VALIDATED;Kraftwerk Sanetsch AG;Kraftwerk Sanetsch AG;Kraftwerk Sanetsch AG;Kraftwerk Sanetsch AG;KWS;KWS;KWS;KWS;12;Bahn ohne Verkehrsabrechnung;Ferrovia senza rapporto sul traffico;Chemin de fer sans rapport de circulation;#1283;KWS;Kraftwerk Sanetsch AG (KWS);2022-08-04 14:16:31;2022-08-04 14:16:31
ch:1:sboid:101062;101062;1900-01-01;9999-12-31;3122;VALIDATED;Comunità del Tremorgio SA;Comunità del Tremorgio SA;Comunità del Tremorgio SA;Comunità del Tremorgio SA;CTR;CTR;CTR;CTR;12;Bahn ohne Verkehrsabrechnung;Ferrovia senza rapporto sul traffico;Chemin de fer sans rapport de circulation;#1291;CTR;Comunità del Tremorgio SA;2022-08-04 14:16:31;2022-08-04 14:16:31
ch:1:sboid:101063;101063;1900-01-01;9999-12-31;3123;VALIDATED;Funiva San Carlo-Robiei;Funiva San Carlo-Robiei;Funiva San Carlo-Robiei;Funiva San Carlo-Robiei;FSCR;FSCR;FSCR;FSCR;12;Bahn ohne Verkehrsabrechnung;Ferrovia senza rapporto sul traffico;Chemin de fer sans rapport de circulation;#1118;FSCR;Officine idroelettriche della Maggia SA;2022-08-04 14:16:31;2022-08-04 14:16:31
ch:1:sboid:101068;101068;1900-01-01;9999-12-31;3128;VALIDATED;Sesselbahn Krümmenschwil-Rietbach;Sesselbahn Krümmenschwil-Rietbach;Sesselbahn Krümmenschwil-Rietbach;Sesselbahn Krümmenschwil-Rietbach;SKR;SKR;SKR;SKR;12;Bahn ohne Verkehrsabrechnung;Ferrovia senza rapporto sul traffico;Chemin de fer sans rapport de circulation;#1089;SKR;Wolzenalp AG;2022-08-04 14:16:31;2022-08-04 14:16:31
ch:1:sboid:101069;101069;1900-01-01;9999-12-31;3129;VALIDATED;Sesselbahn Wildhaus-Gamplüt;Sesselbahn Wildhaus-Gamplüt;Sesselbahn Wildhaus-Gamplüt;Sesselbahn Wildhaus-Gamplüt;SWG;SWG;SWG;SWG;12;Bahn ohne Verkehrsabrechnung;Ferrovia senza rapporto sul traffico;Chemin de fer sans rapport de circulation;#1219;SWG;Gamplüt Koller AG;2022-08-04 14:16:31;2022-08-04 14:16:31
ch:1:sboid:101070;101070;1900-01-01;9999-12-31;3130;VALIDATED;Sportbahnen Amden;Sportbahnen Amden;Sportbahnen Amden;Sportbahnen Amden;SBA;SBA;SBA;SBA;12;Bahn ohne Verkehrsabrechnung;Ferrovia senza rapporto sul traffico;Chemin de fer sans rapport de circulation;#1155;SBA;Sportbahnen Amden AG;2022-08-04 14:16:31;2022-08-04 14:16:31
ch:1:sboid:101071;101071;1900-01-01;9999-12-31;3131;VALIDATED;Berggasthaus Staubern AG;Berggasthaus Staubern AG;Berggasthaus Staubern AG;Berggasthaus Staubern AG;BGST;BGST;BGST;BGST;12;Bahn ohne Verkehrsabrechnung;Ferrovia senza rapporto sul traffico;Chemin de fer sans rapport de circulation;#1287;SSTAG;Seilbahn Staubern AG;2022-08-04 14:16:31;2022-08-04 14:16:31
ch:1:sboid:101072;101072;1900-01-01;9999-12-31;3132;VALIDATED;Luftseilbahn Oberschan-Hotel Alvier;Luftseilbahn Oberschan-Hotel Alvier;Luftseilbahn Oberschan-Hotel Alvier;Luftseilbahn Oberschan-Hotel Alvier;LHA;LHA;LHA;LHA;12;Bahn ohne Verkehrsabrechnung;Ferrovia senza rapporto sul traffico;Chemin de fer sans rapport de circulation;#1274;LHA;Alvier AG Seminarzentrum mit Hotel;2022-08-04 14:16:31;2022-08-04 14:16:31
ch:1:sboid:101073;101073;2018-01-09;9999-12-31;3133;VALIDATED;Bergbahnen Malbun AG;Bergbahnen Malbun AG;Bergbahnen Malbun AG;Bergbahnen Malbun AG;BBMAG;BBMAG;BBMAG;BBMAG;12;Bahn ohne Verkehrsabrechnung;Ferrovia senza rapporto sul traffico;Chemin de fer sans rapport de circulation;#2799;BBMAG;Bergbahnen Malbun AG;2022-08-04 14:16:27;2022-08-04 14:16:27
ch:1:sboid:101075;101075;1900-01-01;9999-12-31;3135;VALIDATED;Sportbahnen Kerenzerberg GmbH;Sportbahnen Kerenzerberg GmbH;Sportbahnen Kerenzerberg GmbH;Sportbahnen Kerenzerberg GmbH;SK;SK;SK;SK;12;Bahn ohne Verkehrsabrechnung;Ferrovia senza rapporto sul traffico;Chemin de fer sans rapport de circulation;#1268;SK;Sportbahnen Kerenzerberg GmbH;2022-08-04 14:16:31;2022-08-04 14:16:31
ch:1:sboid:101076;101076;1900-01-01;9999-12-31;3136;VALIDATED;Genossenschaft Luftseilbahn Morgenholz;Genossenschaft Luftseilbahn Morgenholz;Genossenschaft Luftseilbahn Morgenholz;Genossenschaft Luftseilbahn Morgenholz;GLNM;GLNM;GLNM;GLNM;12;Bahn ohne Verkehrsabrechnung;Ferrovia senza rapporto sul traffico;Chemin de fer sans rapport de circulation;#1289;GLNM;Genossenschaft Luftseilbahn Niederurnen-Morgenholz;2022-08-04 14:16:31;2022-08-04 14:16:31
ch:1:sboid:101077;101077;1900-01-01;9999-12-31;3137;VALIDATED;Luftseilbahn Kies-Mettmen;Luftseilbahn Kies-Mettmen;Luftseilbahn Kies-Mettmen;Luftseilbahn Kies-Mettmen;LKM;LKM;LKM;LKM;12;Bahn ohne Verkehrsabrechnung;Ferrovia senza rapporto sul traffico;Chemin de fer sans rapport de circulation;#1084;LKM;Luftseilbahn Kies-Mettmen AG;2022-08-04 14:16:31;2022-08-04 14:16:31
ch:1:sboid:101078;101078;1900-01-01;9999-12-31;3138;VALIDATED;Luftseilbahn Matt-Weissenberg;Luftseilbahn Matt-Weissenberg;Luftseilbahn Matt-Weissenberg;Luftseilbahn Matt-Weissenberg;LMW;LMW;LMW;LMW;12;Bahn ohne Verkehrsabrechnung;Ferrovia senza rapporto sul traffico;Chemin de fer sans rapport de circulation;#1106;LMW;Luftseilbahngenossenschaft Weissenberg;2022-08-04 14:16:31;2022-08-04 14:16:31
ch:1:sboid:101079;101079;1900-01-01;9999-12-31;3139;VALIDATED;Sportbahnen Elm;Sportbahnen Elm;Sportbahnen Elm;Sportbahnen Elm;SBE;SBE;SBE;SBE;12;Bahn ohne Verkehrsabrechnung;Ferrovia senza rapporto sul traffico;Chemin de fer sans rapport de circulation;#1177;SBE;Sportbahnen Elm AG;2022-08-04 14:16:31;2022-08-04 14:16:31
ch:1:sboid:101080;101080;1900-01-01;9999-12-31;3140;VALIDATED;Aelplibahn Malans Genossenschaft;Aelplibahn Malans Genossenschaft;Aelplibahn Malans Genossenschaft;Aelplibahn Malans Genossenschaft;AMG;AMG;AMG;AMG;12;Bahn ohne Verkehrsabrechnung;Ferrovia senza rapporto sul traffico;Chemin de fer sans rapport de circulation;#1278;AMG;älplibahn malans Genossenschaft;2022-08-04 14:16:31;2022-08-04 14:16:31
ch:1:sboid:101082;101082;2023-12-10;9999-12-31;3142;VALIDATED;Gemeinde Grüsch;Gemeinde Grüsch;Gemeinde Grüsch;Gemeinde Grüsch;SFE;SFE;SFE;SFE;12;Bahn ohne Verkehrsabrechnung;Ferrovia senza rapporto sul traffico;Chemin de fer sans rapport de circulation;#1282;SFE;Gemeinde Grüsch;2023-09-07 08:28:59;2023-09-07 08:28:59
ch:1:sboid:101083;101083;1900-01-01;9999-12-31;3143;VALIDATED;Davos Klosters Bergbahnen AG;Davos Klosters Bergbahnen AG;Davos Klosters Bergbahnen AG;Davos Klosters Bergbahnen AG;DKB-lswj;DKB-lswj;DKB-lswj;DKB-lswj;12;Bahn ohne Verkehrsabrechnung;Ferrovia senza rapporto sul traffico;Chemin de fer sans rapport de circulation;#1024;DKB;Davos Klosters Bergbahnen AG;2022-08-04 14:16:31;2022-08-04 14:16:31
ch:1:sboid:101085;101085;2018-12-09;9999-12-31;3146;VALIDATED;Bergbahnen Obersaxen AG;Bergbahnen Obersaxen AG;Bergbahnen Obersaxen AG;Bergbahnen Obersaxen AG;BO;BO;BO;BO;12;Bahn ohne Verkehrsabrechnung;Ferrovia senza rapporto sul traffico;Chemin de fer sans rapport de circulation;#1154;BO;Bergbahnen Obersaxen AG;2022-08-04 14:16:27;2022-08-04 14:16:27
ch:1:sboid:101087;101087;1900-01-01;9999-12-31;3148;VALIDATED;Bergbahnen Piz Mundaun AG;Bergbahnen Piz Mundaun AG;Bergbahnen Piz Mundaun AG;Bergbahnen Piz Mundaun AG;BPM-svcs;BPM-svcs;BPM-svcs;BPM-svcs;12;Bahn ohne Verkehrsabrechnung;Ferrovia senza rapporto sul traffico;Chemin de fer sans rapport de circulation;#1123;BPM;Bergbahnen Piz Mundaun AG;2022-08-04 14:16:31;2022-08-04 14:16:31
ch:1:sboid:101090;101090;1900-01-01;9999-12-31;3151;VALIDATED;Sesselbahn Vals-Gadenstatt;Sesselbahn Vals-Gadenstatt;Sesselbahn Vals-Gadenstatt;Sesselbahn Vals-Gadenstatt;SVGa;SVGa;SVGa;SVGa;12;Bahn ohne Verkehrsabrechnung;Ferrovia senza rapporto sul traffico;Chemin de fer sans rapport de circulation;#1208;SVGa;Visit Vals AG;2022-08-04 14:16:31;2022-08-04 14:16:31
ch:1:sboid:101091;101091;1900-01-01;9999-12-31;3152;VALIDATED;Bergbahnen Piz Mundaun AG;Bergbahnen Piz Mundaun AG;Bergbahnen Piz Mundaun AG;Bergbahnen Piz Mundaun AG;BPM-svh;BPM-svh;BPM-svh;BPM-svh;12;Bahn ohne Verkehrsabrechnung;Ferrovia senza rapporto sul traffico;Chemin de fer sans rapport de circulation;#1123;BPM;Bergbahnen Piz Mundaun AG;2022-08-04 14:16:31;2022-08-04 14:16:31
ch:1:sboid:101095;101095;1900-01-01;9999-12-31;3158;VALIDATED;Sesselbahn Feldis-Mutta;Sesselbahn Feldis-Mutta;Sesselbahn Feldis-Mutta;Sesselbahn Feldis-Mutta;SFM;SFM;SFM;SFM;12;Bahn ohne Verkehrsabrechnung;Ferrovia senza rapporto sul traffico;Chemin de fer sans rapport de circulation;#1157;SFM;Sesselbahn und Skilifte Feldis AG;2022-08-04 14:16:32;2022-08-04 14:16:32
ch:1:sboid:101097;101097;1900-01-01;9999-12-31;3160;VALIDATED;EWZ Bergeller Kraftwerke;EWZ Bergeller Kraftwerke;EWZ Bergeller Kraftwerke;EWZ Bergeller Kraftwerke;EWZ-pa;EWZ-pa;EWZ-pa;EWZ-pa;12;Bahn ohne Verkehrsabrechnung;Ferrovia senza rapporto sul traffico;Chemin de fer sans rapport de circulation;#1290;EWZ;Elektrizitätswerk der Stadt Zürich;2022-08-04 14:16:32;2022-08-04 14:16:32
ch:1:sboid:101098;101098;2022-08-29;9999-12-31;3161;VALIDATED;Bergbahnen Samnaun AG;Bergbahnen Samnaun AG;Bergbahnen Samnaun AG;Bergbahnen Samnaun AG;LS;LS;LS;LS;45;Luft;Aria;Air;#1146;LS;Bergbahnen Samnaun AG;2022-08-29 15:25:08;2022-08-29 15:25:08
ch:1:sboid:101099;101099;2021-08-10;9999-12-31;3162;VALIDATED;ebs Energie AG;ebs Energie AG;ebs Energie AG;ebs Energie AG;EBS;EBS;EBS;EBS;12;Bahn ohne Verkehrsabrechnung;Ferrovia senza rapporto sul traffico;Chemin de fer sans rapport de circulation;#1292;EBS;ebs Energie AG;2022-08-04 14:16:27;2022-08-04 14:16:27
ch:1:sboid:101102;101102;1900-01-01;9999-12-31;3165;VALIDATED;Luftseilbahn Illgau - Vorder Oberberg;Luftseilbahn Illgau - Vorder Oberberg;Luftseilbahn Illgau - Vorder Oberberg;Luftseilbahn Illgau - Vorder Oberberg;LIV;LIV;LIV;LIV;12;Bahn ohne Verkehrsabrechnung;Ferrovia senza rapporto sul traffico;Chemin de fer sans rapport de circulation;#1241;LIV;Luftseilbahn Illgau-Vorderoberberg AG;2022-08-04 14:16:32;2022-08-04 14:16:32
ch:1:sboid:101103;101103;1900-01-01;9999-12-31;3166;VALIDATED;Zürcher Museumsbahn;Zürcher Museumsbahn;Zürcher Museumsbahn;Zürcher Museumsbahn;ZMB;ZMB;ZMB;ZMB;12;Bahn ohne Verkehrsabrechnung;Ferrovia senza rapporto sul traffico;Chemin de fer sans rapport de circulation;#0089;ZMB;Zürcher Museums-Bahn (ZMB);2022-08-04 14:16:32;2022-08-04 14:16:32
ch:1:sboid:101104;101104;1900-01-01;9999-12-31;3167;VALIDATED;SBB AG Auslandsverbindungen (KUBUS);SBB AG Auslandsverbindungen (KUBUS);SBB AG Auslandsverbindungen (KUBUS);SBB AG Auslandsverbindungen (KUBUS);SBB Ausl;SBB Ausl;SBB Ausl;SBB Ausl;12;Bahn ohne Verkehrsabrechnung;Ferrovia senza rapporto sul traffico;Chemin de fer sans rapport de circulation;;;;2022-08-04 14:16:32;2022-08-04 14:16:32
ch:1:sboid:101105;101105;2024-10-28;9999-12-31;3168;VALIDATED;Sportbahnen Braunwald AG;Sportbahnen Braunwald AG;Sportbahnen Braunwald AG;Sportbahnen Braunwald AG;SPBR;SPBR;SPBR;SPBR;12;Bahn ohne Verkehrsabrechnung;Ferrovia senza rapporto sul traffico;Chemin de fer sans rapport de circulation;#0406;SPBR;Sportbahnen Braunwald AG;2024-10-28 15:56:09;2024-10-28 15:56:09
ch:1:sboid:101107;101107;1900-01-01;9999-12-31;3181;VALIDATED;Navigation Lac de Joux;Navigation Lac de Joux;Navigation Lac de Joux;Navigation Lac de Joux;NLJ;NLJ;NLJ;NLJ;22;Schiff ohne Verkehrsabrechnung;Nave senza rapporto sul traffico;Bateau sans rapport de circulation;#0619;NLJ;Compagnie de navigation sur le Lac de Joux société coopérative;2022-08-04 14:16:32;2022-08-04 14:16:32
ch:1:sboid:101108;101108;1900-01-01;9999-12-31;3182;VALIDATED;Solarfährbetrieb Thomas Geiger Reichenau;Solarfährbetrieb Thomas Geiger Reichenau;Solarfährbetrieb Thomas Geiger Reichenau;Solarfährbetrieb Thomas Geiger Reichenau;STGR;STGR;STGR;STGR;22;Schiff ohne Verkehrsabrechnung;Nave senza rapporto sul traffico;Bateau sans rapport de circulation;;;;2022-08-04 14:16:32;2022-08-04 14:16:32
ch:1:sboid:101109;101109;1900-01-01;9999-12-31;3183;VALIDATED;Schiffahrtsunternehmung Silsersee;Schiffahrtsunternehmung Silsersee;Schiffahrtsunternehmung Silsersee;Schiffahrtsunternehmung Silsersee;SS;SS;SS;SS;22;Schiff ohne Verkehrsabrechnung;Nave senza rapporto sul traffico;Bateau sans rapport de circulation;#0618;SS;Gemeinde Sils im Engadin/Segl;2022-08-04 14:16:32;2022-08-04 14:16:32
ch:1:sboid:101111;101111;1900-01-01;9999-12-31;3185;VALIDATED;Ernst Mändli AG Nohl;Ernst Mändli AG Nohl;Ernst Mändli AG Nohl;Ernst Mändli AG Nohl;EMAG;EMAG;EMAG;EMAG;22;Schiff ohne Verkehrsabrechnung;Nave senza rapporto sul traffico;Bateau sans rapport de circulation;#0638;EMAG;Ernst Mändli AG, Schifffahrtsbetrieb und Bootsbau;2022-08-04 14:16:32;2022-08-04 14:16:32
ch:1:sboid:101112;101112;1900-01-01;9999-12-31;3186;VALIDATED;Schiff Eglisau-Tössegg;Schiff Eglisau-Tössegg;Schiff Eglisau-Tössegg;Schiff Eglisau-Tössegg;SZR-ET;SZR-ET;SZR-ET;SZR-ET;22;Schiff ohne Verkehrsabrechnung;Nave senza rapporto sul traffico;Bateau sans rapport de circulation;#0637;SZR;Schifffahrtsgesellschaft Züri Rhy AG;2022-08-04 14:16:32;2022-08-04 14:16:32
ch:1:sboid:101113;101113;1900-01-01;9999-12-31;3187;VALIDATED;Schiff Eglisau-Rheinsfelden;Schiff Eglisau-Rheinsfelden;Schiff Eglisau-Rheinsfelden;Schiff Eglisau-Rheinsfelden;SZR-ER;SZR-ER;SZR-ER;SZR-ER;22;Schiff ohne Verkehrsabrechnung;Nave senza rapporto sul traffico;Bateau sans rapport de circulation;#0637;SZR;Schifffahrtsgesellschaft Züri Rhy AG;2022-08-04 14:16:32;2022-08-04 14:16:32
ch:1:sboid:101114;101114;1900-01-01;9999-12-31;3188;VALIDATED;Luftseilbahn Amsteg-Arni;Luftseilbahn Amsteg-Arni;Luftseilbahn Amsteg-Arni;Luftseilbahn Amsteg-Arni;LAA;LAA;LAA;LAA;12;Bahn ohne Verkehrsabrechnung;Ferrovia senza rapporto sul traffico;Chemin de fer sans rapport de circulation;#1273;LAA;Luftseilbahngenossenschaft Amsteg-Arnisee;2022-08-04 14:16:32;2022-08-04 14:16:32
ch:1:sboid:101116;101116;1900-01-01;9999-12-31;3190;VALIDATED;Fähre Beckenried-Gersau;Fähre Beckenried-Gersau;Fähre Beckenried-Gersau;Fähre Beckenried-Gersau;FBG;FBG;FBG;FBG;22;Schiff ohne Verkehrsabrechnung;Nave senza rapporto sul traffico;Bateau sans rapport de circulation;#0644;FBG;Mick Baumgartner GmbH;2022-08-04 14:16:32;2022-08-04 14:16:32
ch:1:sboid:101117;101117;1900-01-01;9999-12-31;3191;VALIDATED;Wasserngrat 2000 AG;Wasserngrat 2000 AG;Wasserngrat 2000 AG;Wasserngrat 2000 AG;WG-wg;WG-wg;WG-wg;WG-wg;45;Luft;Aria;Air;#1163;WG;Wasserngrat 2000 AG;2022-08-04 14:16:32;2022-08-04 14:16:32
ch:1:sboid:101118;101118;1900-01-01;9999-12-31;3192;VALIDATED;Jaun-Gastlosen Bergbahnen AG;Jaun-Gastlosen Bergbahnen AG;Jaun-Gastlosen Bergbahnen AG;Jaun-Gastlosen Bergbahnen AG;SJAG-sjag;SJAG-sjag;SJAG-sjag;SJAG-sjag;45;Luft;Aria;Air;#1249;SJAG;Jaun-Gastlosen Bergbahnen AG;2022-08-04 14:16:32;2022-08-04 14:16:32
ch:1:sboid:101119;101119;1900-01-01;9999-12-31;3193;VALIDATED;Nuova Carì Impianti Turistici SA;Nuova Carì Impianti Turistici SA;Nuova Carì Impianti Turistici SA;Nuova Carì Impianti Turistici SA;NCIT-ncit;NCIT-ncit;NCIT-ncit;NCIT-ncit;45;Luft;Aria;Air;#1297;NCIT;Nuova Carì Impianti Turistici SA;2022-08-04 14:16:32;2022-08-04 14:16:32
ch:1:sboid:101120;101120;1900-01-01;9999-12-31;3194;VALIDATED;Franz Weiss Sarnen (Sarnersee);Franz Weiss Sarnen (Sarnersee);Franz Weiss Sarnen (Sarnersee);Franz Weiss Sarnen (Sarnersee);FWS;FWS;FWS;FWS;22;Schiff ohne Verkehrsabrechnung;Nave senza rapporto sul traffico;Bateau sans rapport de circulation;#1227;FWS;Franz Weiss-Wacker;2022-08-04 14:16:32;2022-08-04 14:16:32
ch:1:sboid:101121;101121;1900-01-01;9999-12-31;3195;VALIDATED;Politische Gemeinde Steckborn;Politische Gemeinde Steckborn;Politische Gemeinde Steckborn;Politische Gemeinde Steckborn;GSB;GSB;GSB;GSB;22;Schiff ohne Verkehrsabrechnung;Nave senza rapporto sul traffico;Bateau sans rapport de circulation;#0635;GSB;Politische Gemeinde Steckborn;2022-08-04 14:16:32;2022-08-04 14:16:32
ch:1:sboid:101123;101123;1900-01-01;9999-12-31;3197;VALIDATED;Flughafen Zürich AG;Flughafen Zürich AG;Flughafen Zürich AG;Flughafen Zürich AG;FZAG-zrh;FZAG-zrh;FZAG-zrh;FZAG-zrh;45;Luft;Aria;Air;#1914;FZAG;Flughafen Zürich AG;2022-08-04 14:16:32;2022-08-04 14:16:32
ch:1:sboid:101124;101124;1900-01-01;9999-12-31;3219;VALIDATED;Minoan Lines SA Griechenland;Minoan Lines SA Griechenland;Minoan Lines SA Griechenland;Minoan Lines SA Griechenland;MINOAN;MINOAN;MINOAN;MINOAN;95;interne Abrechnungszwecke;scopi di fatturazione interna;fins de facturation;;;;2022-08-04 14:16:32;2022-08-04 14:16:32
ch:1:sboid:101125;101125;2019-08-26;9999-12-31;3222;VALIDATED;Sportbahnen Melchsee-Frutt (lsm);Sportbahnen Melchsee-Frutt (lsm);Sportbahnen Melchsee-Frutt (lsm);Sportbahnen Melchsee-Frutt (lsm);SMF-lsmFpl;SMF-lsmFpl;SMF-lsmFpl;SMF-lsmFpl;12;Bahn ohne Verkehrsabrechnung;Ferrovia senza rapporto sul traffico;Chemin de fer sans rapport de circulation;#1204;SMF;Korporation Kerns;2022-08-04 14:16:27;2022-08-04 14:16:27
ch:1:sboid:101126;101126;1900-01-01;9999-12-31;3236;VALIDATED;Westbahn;Westbahn;Westbahn;Westbahn;WB Bahn;WB Bahn;WB Bahn;WB Bahn;95;interne Abrechnungszwecke;scopi di fatturazione interna;fins de facturation;;;;2022-08-04 14:16:32;2022-08-04 14:16:32
ch:1:sboid:101127;101127;1900-01-01;9999-12-31;3270;VALIDATED;Trenord;Trenord;Trenord;Trenord;Trenord;Trenord;Trenord;Trenord;95;interne Abrechnungszwecke;scopi di fatturazione interna;fins de facturation;;;;2022-08-04 14:16:32;2022-08-04 14:16:32
ch:1:sboid:101128;101128;1900-01-01;9999-12-31;3333;VALIDATED;EURAIL GROUP GIE;EURAIL GROUP GIE;EURAIL GROUP GIE;EURAIL GROUP GIE;EURAIL;EURAIL;EURAIL;EURAIL;12;Bahn ohne Verkehrsabrechnung;Ferrovia senza rapporto sul traffico;Chemin de fer sans rapport de circulation;;;;2022-08-04 14:16:32;2022-08-04 14:16:32
ch:1:sboid:101129;101129;1900-01-01;9999-12-31;3385;VALIDATED;BLS Lötschbergbahn                                         $;BLS Lötschbergbahn                                         $;BLS Lötschbergbahn                                         $;BLS Lötschbergbahn                                         $;BLS-bls  $;BLS-bls  $;BLS-bls  $;BLS-bls  $;95;interne Abrechnungszwecke;scopi di fatturazione interna;fins de facturation;;;;2022-08-04 14:16:32;2022-08-04 14:16:32
ch:1:sboid:101130;101130;1900-01-01;9999-12-31;3849;VALIDATED;Verkehrsbetriebe Zürich INFO+;Verkehrsbetriebe Zürich INFO+;Verkehrsbetriebe Zürich INFO+;Verkehrsbetriebe Zürich INFO+;VBZ    Fpl;VBZ    Fpl;VBZ    Fpl;VBZ    Fpl;30;Strasse;Strada;Route;#0346;VBZ;Verkehrsbetriebe Zürich;2022-08-04 14:16:32;2022-08-04 14:16:32
ch:1:sboid:101131;101131;1900-01-01;9999-12-31;3862;VALIDATED;KWO Seilbahnen;KWO Funiculaire;KWO Funicolare;KWO Seilbahnen;KWO-sb;KWO-sb;KWO-sb;KWO-sb;10;Eisenbahn;Ferrovia;Chemin de fer;#0148;KWO;Kraftwerke Oberhasli AG;2022-08-04 14:16:32;2022-08-04 14:16:32
ch:1:sboid:101132;101132;2020-09-04;9999-12-31;3955;VALIDATED;Trasporti Pubblici Luganesi SA;Trasporti Pubblici Luganesi SA;Trasporti Pubblici Luganesi SA;Trasporti Pubblici Luganesi SA;TPL    Fpl;TPL    Fpl;TPL    Fpl;TPL    Fpl;32;Strasse ohne Verkehrsabrechnug;Strada senza rapporto sul traffico;Route sans rapport de circulation;#0522;TPL;TRASPORTI PUBBLICI LUGANESI SA (TPL);2022-08-04 14:16:27;2022-08-04 14:16:27
ch:1:sboid:101133;101133;1900-01-01;9999-12-31;7000;VALIDATED;Interimsfahrplan / Horaire interimaire / Orario ad interim;Interimsfahrplan / Horaire interimaire / Orario ad interim;Interimsfahrplan / Horaire interimaire / Orario ad interim;Interimsfahrplan / Horaire interimaire / Orario ad interim;Extrabus 1;Extrabus 1;Extrabus 1;Extrabus 1;32;Strasse ohne Verkehrsabrechnug;Strada senza rapporto sul traffico;Route sans rapport de circulation;;;;2022-08-04 14:16:32;2022-08-04 14:16:32
ch:1:sboid:101134;101134;1900-01-01;9999-12-31;7001;VALIDATED;Events / Manifestations / Eventi;Events / Manifestations / Eventi;Events / Manifestaions / Eventi;Events / Manifestations / Eventi;Extrabus 2;Extrabus 2;Extrabus 2;Extrabus 2;32;Strasse ohne Verkehrsabrechnug;Strada senza rapporto sul traffico;Route sans rapport de circulation;;;;2022-08-04 14:16:27;2022-08-04 14:16:27
ch:1:sboid:101137;101137;1900-01-01;9999-12-31;7004;VALIDATED;Commune d'Anniviers Vissoie;Commune d'Anniviers Vissoie;Commune d'Anniviers Vissoie;Commune d'Anniviers Vissoie;CdA;CdA;CdA;CdA;32;Strasse ohne Verkehrsabrechnug;Strada senza rapporto sul traffico;Route sans rapport de circulation;#1236;CdA;Commune d'Anniviers;2022-08-04 14:16:32;2022-08-04 14:16:32
ch:1:sboid:101138;101138;1900-01-01;9999-12-31;7005;VALIDATED;Riffelalp Resort AG Zermatt;Riffelalp Resort AG Zermatt;Riffelalp Resort AG Zermatt;Riffelalp Resort AG Zermatt;RiT;RiT;RiT;RiT;32;Strasse ohne Verkehrsabrechnug;Strada senza rapporto sul traffico;Route sans rapport de circulation;#0335;RiT;Riffelalp Resort AG;2022-08-04 14:16:32;2022-08-04 14:16:32
ch:1:sboid:101141;101141;1900-01-01;9999-12-31;7008;VALIDATED;Ruftaxi Rorschacherberg;Ruftaxi Rorschacherberg;Ruftaxi Rorschacherberg;Ruftaxi Rorschacherberg;RRB;RRB;RRB;RRB;32;Strasse ohne Verkehrsabrechnug;Strada senza rapporto sul traffico;Route sans rapport de circulation;#1261;RRB;Gemeinde Rorschacherberg;2022-08-04 14:16:32;2022-08-04 14:16:32
ch:1:sboid:101143;101143;1900-01-01;9999-12-31;7010;VALIDATED;Busbetrieb Gemeinde Aadorf;Busbetrieb Gemeinde Aadorf;Busbetrieb Gemeinde Aadorf;Busbetrieb Gemeinde Aadorf;BBGA;BBGA;BBGA;BBGA;32;Strasse ohne Verkehrsabrechnug;Strada senza rapporto sul traffico;Route sans rapport de circulation;;;;2022-08-04 14:16:32;2022-08-04 14:16:32
ch:1:sboid:101144;101144;1900-01-01;9999-12-31;7011;VALIDATED;Anrufsammeltaxi Bischofszell;Anrufsammeltaxi Bischofszell;Anrufsammeltaxi Bischofszell;Anrufsammeltaxi Bischofszell;ASTB;ASTB;ASTB;ASTB;32;Strasse ohne Verkehrsabrechnug;Strada senza rapporto sul traffico;Route sans rapport de circulation;#0807;ASTB;Stadt Bischofszell;2022-08-04 14:16:32;2022-08-04 14:16:32
ch:1:sboid:101145;101145;1900-01-01;9999-12-31;7012;VALIDATED;Anrufsammeltaxi Amriswil;Anrufsammeltaxi Amriswil;Anrufsammeltaxi Amriswil;Anrufsammeltaxi Amriswil;ASTA;ASTA;ASTA;ASTA;32;Strasse ohne Verkehrsabrechnug;Strada senza rapporto sul traffico;Route sans rapport de circulation;#0818;ASTA;Stadt Amriswil;2022-08-04 14:16:32;2022-08-04 14:16:32
ch:1:sboid:101148;101148;1900-01-01;9999-12-31;7015;VALIDATED;Ueltschi Richard Zweisimmen;Ueltschi Richard Zweisimmen;Ueltschi Richard Zweisimmen;Ueltschi Richard Zweisimmen;URZ;URZ;URZ;URZ;32;Strasse ohne Verkehrsabrechnug;Strada senza rapporto sul traffico;Route sans rapport de circulation;;;;2022-08-04 14:16:32;2022-08-04 14:16:32
ch:1:sboid:101150;101150;1900-01-01;9999-12-31;7017;VALIDATED;Gemeinde St. Gallenkappel;Gemeinde St. Gallenkappel;Gemeinde St. Gallenkappel;Gemeinde St. Gallenkappel;BBO;BBO;BBO;BBO;32;Strasse ohne Verkehrsabrechnug;Strada senza rapporto sul traffico;Route sans rapport de circulation;#0757;BBO;Gemeinde Eschenbach (SG);2022-08-04 14:16:32;2022-08-04 14:16:32
