sboid;said;validFrom;validTo;organisationNumber;status;descriptionDe;descriptionFr;descriptionIt;descriptionEn;abbreviationDe;abbreviationFr;abbreviationIt;abbreviationEn;businessTypesId;businessTypesDe;businessTypesIt;businessTypesFr;transportCompanyNumber;transportCompanyAbbreviation;transportCompanyBusinessRegisterName;creationTime;editionTime
ch:1:sboid:100036;100036;1900-01-01;9999-12-31;55;VALIDATED;Lausanne-Echallens-Bercher;Lausanne-Echallens-Bercher;Lausanne-Echallens-Bercher;Lausanne-Echallens-Bercher;LEB;LEB;LEB;LEB;10;Eisenbahn;Ferrovia;Chemin de fer;#0139;LEB;Compagnie du chemin de fer Lausanne-Echallens-Bercher SA;2022-08-04 14:16:30;2022-08-04 14:16:30
ch:1:sboid:100037;100037;1900-01-01;9999-12-31;56;VALIDATED;Aare Seeland mobil (rvo);Aare Seeland mobil (rvo);Aare Seeland mobil (rvo);Aare Seeland mobil (rvo);ASM-rvo;ASM-rvo;ASM-rvo;ASM-rvo;10;Eisenbahn;Ferrovia;Chemin de fer;#0136;asm;Aare Seeland mobil AG;2022-08-04 14:16:30;2022-08-04 14:16:30
ch:1:sboid:100038;100038;1900-01-01;9999-12-31;57;VALIDATED;Hafenbahn Schweiz AG Birsfelden;Hafenbahn Schweiz AG Birsfelden;Hafenbahn Schweiz AG Birsfelden;Hafenbahn Schweiz AG Birsfelden;HBS-agb;HBS-agb;HBS-agb;HBS-agb;12;Bahn ohne Verkehrsabrechnung;Ferrovia senza rapporto sul traffico;Chemin de fer sans rapport de circulation;#0005;HBS;Hafenbahn Schweiz AG;2022-08-04 14:16:30;2022-08-04 14:16:30
ch:1:sboid:100039;100039;1900-01-01;9999-12-31;58;VALIDATED;Hafenbahn Schweiz AG Kleinhüningen;Hafenbahn Schweiz AG Kleinhüningen;Hafenbahn Schweiz AG Kleinhüningen;Hafenbahn Schweiz AG Kleinhüningen;HBS-agk;HBS-agk;HBS-agk;HBS-agk;12;Bahn ohne Verkehrsabrechnung;Ferrovia senza rapporto sul traffico;Chemin de fer sans rapport de circulation;#0005;HBS;Hafenbahn Schweiz AG;2022-08-04 14:16:30;2022-08-04 14:16:30
ch:1:sboid:100042;100042;1900-01-01;9999-12-31;61;VALIDATED;Transports de Martigny et Régions (mc);Transports de Martigny et Régions (mc);Transports de Martigny et Régions (mc);Transports de Martigny et Régions (mc);TMR-mc;TMR-mc;TMR-mc;TMR-mc;10;Eisenbahn;Ferrovia;Chemin de fer;#0032;TMR;TMR Transports de Martigny et Régions SA;2022-08-04 14:16:27;2022-08-04 14:16:27
ch:1:sboid:100043;100043;1900-01-01;9999-12-31;62;VALIDATED;BLS AG (mlb);BLS AG (mlb);BLS AG (mlb);BLS AG (mlb);BLS-mlb;BLS-mlb;BLS-mlb;BLS-mlb;10;Eisenbahn;Ferrovia;Chemin de fer;#0016;BLS;BLS AG;2022-08-04 14:16:30;2022-08-04 14:16:30
ch:1:sboid:100044;100044;1900-01-01;9999-12-31;63;VALIDATED;Transports de Martigny et Régions (mo);Transports de Martigny et Régions (mo);Transports de Martigny et Régions (mo);Transports de Martigny et Régions (mo);TMR-mo;TMR-mo;TMR-mo;TMR-mo;10;Eisenbahn;Ferrovia;Chemin de fer;#0032;TMR;TMR Transports de Martigny et Régions SA;2022-08-04 14:16:30;2022-08-04 14:16:30
ch:1:sboid:100045;100045;1900-01-01;9999-12-31;64;VALIDATED;Montreux-Oberland Bernois;Montreux-Oberland Bernois;Montreux-Oberland Bernois;Montreux-Oberland Bernois;MOB;MOB;MOB;MOB;10;Eisenbahn;Ferrovia;Chemin de fer;#0151;MOB;Compagnie du Chemin de fer Montreux Oberland bernois SA;2022-08-04 14:16:27;2022-08-04 14:16:27
ch:1:sboid:100046;100046;1900-01-01;9999-12-31;65;VALIDATED;THURBO;THURBO;THURBO;THURBO;THURBO;THURBO;THURBO;THURBO;10;Eisenbahn;Ferrovia;Chemin de fer;#0020;THURBO;Thurbo AG;2022-08-04 14:16:32;2022-08-04 14:16:32
ch:1:sboid:100047;100047;1900-01-01;9999-12-31;66;VALIDATED;Nyon-St-Cergue-Morez;Nyon-St-Cergue-Morez;Nyon-St-Cergue-Morez;Nyon-St-Cergue-Morez;NStCM;NStCM;NStCM;NStCM;10;Eisenbahn;Ferrovia;Chemin de fer;#0152;NStCM;Compagnie du chemin de fer Nyon-St-Cergue-Morez SA;2022-08-04 14:16:32;2022-08-04 14:16:32
